PRID,PRTITLE,PRREASON,PRTYPE,CONFIDENCE
3271988317,feat: Complete Convex→Confect migration + Device sync research and APM improvements,title provides conventional commit label,feat,10
3272275087,feat: Add tag support for API Keys and fix OAuth token exchange,title provides conventional commit label,feat,10
3272397381,Fix: Preserve empty string config values in StripConfig,title provides conventional commit label,fix,10
3272907868,feat: Implement secure blockchain key storage with encryption and audit logging,title provides conventional commit label,feat,10
3273233066,feat: implement comprehensive species tracking system with seasonal/yearly detection badges,title provides conventional commit label,feat,10
3273243547,"fix(tool-stub): use URL hash as version for HTTP backend with ""latest""",title provides conventional commit label,fix,10
3219102497,Test version update error handling,title provides conventional commit label,test,10
3219880512,feat(backend): Integrate GCS file storage with automatic expiration for Agent File Input,title provides conventional commit label,feat,10
3220367089,Fix race conditions in myaudio package,title provides conventional commit label,fix,10
3221520140,fix: unify static file paths across Deno and Node.js builds,title provides conventional commit label,fix,10
2882576893,docs: add CLAUDE.md for development guidance,title provides conventional commit label,docs,10
2886171819,Fix assertion error in UniPC scheduler for high step counts,title provides conventional commit label,fix,10
2888099084,chore: add CLAUDE.md with development guide,title provides conventional commit label,chore,10
2888657232,Fix assertion error in UniPC scheduler for high step counts,title provides conventional commit label,fix,10
2889835337,feat: Add Amazon Bedrock integration,title provides conventional commit label,feat,10
2889875255,feat: Add Amazon Bedrock integration,title provides conventional commit label,feat,10
2889940236,fix: improve authentication with token refresh and expiry handling,title provides conventional commit label,fix,10
2889940415,feat: enhance audio quality for playback,title provides conventional commit label,feat,10
2894762370,feat: add AWS Bedrock support,title provides conventional commit label,feat,10
3262310380,refactor: rename chain_dag to chain_let for semantic clarity,title provides conventional commit label,refactor,10
3262649320,fix: implement comprehensive LiveStore events API with streaming and advanced filtering,title provides conventional commit label,fix,10
3263199127,Fix multiline function signature parsing,title provides conventional commit label,fix,10
3263692368,fix(misc): validate workspace names to reject names starting with numbers,title provides conventional commit label,fix,10
3098322647,feat: add --catalog-only flag to run bundle command,title provides conventional commit label,feat,10
3098972655,chore(repo): setup claude code,title provides conventional commit label,chore,10
3142373237,feat: Add scan command with AI model search and parallel config generation,title provides conventional commit label,feat,10
3144015338,Fix: CoreSimulator API compatibility for Xcode 16+,title provides conventional commit label,fix,10
3145923591,Feat/lerobot integration,title provides conventional commit label,feat,10
3146561196,feat: add version management scripts and CI check,title provides conventional commit label,feat,10
3165662397,feat: add proxy support for network-restricted environments,title provides conventional commit label,feat,10
3165677582,Refactor: Transform to GitHub Issue Management System (#1),title provides conventional commit label,refactor,10
3165750951,feat: Complete Phase 5 - Real Bank Integration & API Documentation,title provides conventional commit label,feat,10
3199027461,feat(notification): add structured logging with privacy scrubbing,title provides conventional commit label,feat,10
3199564335,Fix parsing to better handle branch/tag/subdir specifiers in complex URLs and paths,title provides conventional commit label,fix,10
3199623142,feat: create docs-v2 structure with diataxis framework,title provides conventional commit label,feat,10
3200946614,fix: replace unreliable FedericoCarboni/setup-ffmpeg with apt-get install,title provides conventional commit label,fix,10
3202135682,Fix reference_manifest_isolated_test to use temporary directory,title provides conventional commit label,fix,10
3202692899,feat: Epic #66 - Global and Local Scopes for ruv-swarm (100% Complete),title provides conventional commit label,feat,10
3203032594,fix: Resolve Issue #12 - MCP Server Discovery and Tool Registration Reliability,title provides conventional commit label,fix,10
3250200794,Refactor matrix functions for fixed dimension conventions,title provides conventional commit label,refactor,10
3251370397,feat: strip openrouter/ prefix from model name,title provides conventional commit label,feat,10
3251544513,"feat(store): implement full LiveStore events API with advanced filtering, streaming, and batch querying",title provides conventional commit label,feat,10
3251609070,feat: implement comprehensive configuration validation framework,title provides conventional commit label,feat,10
3107321792,"Fix comprehensive Windows compatibility issues - shell execution, file locking, and cross-platform support",title provides conventional commit label,fix,10
3109706862,fix: return compression info when primary output is disabled,title provides conventional commit label,fix,10
3109791380,fix: prevent UninitializedPropertyAccessException crash in developer menu,title provides conventional commit label,fix,10
3111420697,feat: add settings.local.json for permission configuration,title provides conventional commit label,feat,10
3115027048,feat: Add version setting to blue-green deploy command,title provides conventional commit label,feat,10
3115760621,fix: resolve dependency conflict preventing npx @modelcontextprotocol/inspector from running,title provides conventional commit label,fix,10
3116600521,feat\!: Add M4A support with preferRawStream option,title provides conventional commit label,feat,10
3181506569,feat: Complete Phase 1 MVP Storybook Components Implementation,title provides conventional commit label,feat,10
3181578456,fix: T-SQL CV07 outer parentheses removal,title provides conventional commit label,fix,10
3245454530,feat: Fix MCP Server integration and enhance UI components,title provides conventional commit label,feat,10
3245456977,chore(providers): add GitHub Models provider,title provides conventional commit label,chore,10
3245466752,Fix `mcp-json` output format to include server name,title provides conventional commit label,fix,10
3245584783,feat(gfql): PR 1.3 - Call Operations for safe method execution,title provides conventional commit label,feat,10
3245668511,fix: use proper units in queryStatisticsForQuantity to prevent crashes,title provides conventional commit label,fix,10
3258872453,fix: resolve hive-mind sessions.forEach error (fixes #453),title provides conventional commit label,fix,10
3260232103,feat: add send-as alias support with custom display names,title provides conventional commit label,feat,10
3260236912,feat: Add agent chat and runbook management,title provides conventional commit label,feat,10
3260887009,Fix startup errors and implement real-time Effect streaming,title provides conventional commit label,fix,10
3187718516,feat: Add generic tree-sitter parser with configuration file support,title provides conventional commit label,feat,10
3188858394,feat: implement async notification and telemetry system (Phase 1-3),title provides conventional commit label,feat,10
3188865855,Feat: Barcode integration,title provides conventional commit label,feat,10
3189507528,feat(telemetry): Phase 7 - Initialization Safety,title provides conventional commit label,feat,10
3190390949,Fix: Prevent empty query execution in vector store,title provides conventional commit label,fix,10
3086930190,feat: Add procedural API (v1) for flexible conversation analysis pipelines,title provides conventional commit label,feat,10
3088173646,feat: Add Kura Explorer - Web interface for analyzing conversation clusters,title provides conventional commit label,feat,10
3088176007,feat: Add Kura Explorer database layer,title provides conventional commit label,feat,10
3091332769,"feat: implement v0.2.0 with verbose logging, dry-run mode, and enhanced documentation",title provides conventional commit label,feat,10
3133399556,feat: environment variable support,title provides conventional commit label,feat,10
3133544722,Fix: Remove unnecessary async declarations from synchronous methods,title provides conventional commit label,fix,10
3139315341,feat(rag2): add complete Ingest Pipeline functionality,title provides conventional commit label,feat,10
3140025663,fix: Add Windows UAC execution level support to manifest template,title provides conventional commit label,fix,10
3140073726,feat: add custom field support for property group options,title provides conventional commit label,feat,10
3203754242,feat: Bind service interfaces to implementations,title provides conventional commit label,feat,10
3203856259,docs: complete JSDoc documentation coverage for Effect library,title provides conventional commit label,docs,10
3203910456,feat: 解决工具沙箱缓存机制问题，增加forceReinstall参数支持,title provides conventional commit label,feat,10
3204637024,feat: complete Schema.ts JSDoc documentation with all examples compilation fixed,title provides conventional commit label,feat,10
3204772289,feat: Implement MCP Server GUI Controller,title provides conventional commit label,feat,10
3204784776,docs: Update documentation for Phase 8 advanced trading features,title provides conventional commit label,docs,10
3205273752,feat: Add comprehensive formal verification framework for ruv-FANN,title provides conventional commit label,feat,10
3205839196,feat: Implement comprehensive JSON schema validation with Zod integration,title provides conventional commit label,feat,10
3246950577,fix: export from pylock.toml produces empty requirements.txt (#3573),title provides conventional commit label,fix,10
3247725112,docs: add critical ElizaOS component clarifications to CLAUDE.md,title provides conventional commit label,docs,10
3248139288,docs(gfql): Comprehensive Let bindings and Call operations documentation,title provides conventional commit label,docs,10
3248259820,fix: handle optional fields without defaults in client documents (#487),title provides conventional commit label,fix,10
3248781517,feat: Add stdin support for reading unified diffs,title provides conventional commit label,feat,10
3175209026,Fix docs routing for `classic-ml` pages in `docs/changed_pages.py`,title provides conventional commit label,fix,10
3177654490,feat: remove redundant column.unique field from schema,title provides conventional commit label,feat,10
3178007458,feat: Integrate AI-Framework collaboration rules with SuperClaude,title provides conventional commit label,feat,10
3179729495,feat: Add Storybook for component-driven development,title provides conventional commit label,feat,10
3244853040,fix: implement missing hooks (completion:error and completion:last_attempt),title provides conventional commit label,fix,10
3245161961,feat(gfql): PR 1.2 - Basic Working DAG execution,title provides conventional commit label,feat,10
3245313058,Fix Linux compatibility by conditionally disabling SQLite snapshots,title provides conventional commit label,fix,10
3245346788,feat: simplify Node.js runtime with Hono v1.17.0 absolute path support,title provides conventional commit label,feat,10
3266170682,feat: Implement unified session history showing both local and Convex sessions,title provides conventional commit label,feat,10
3266316354,feat: Implement historical APM chart with time-series visualization,title provides conventional commit label,feat,10
3266626830,fix: Resolve cargo build errors and warnings,title provides conventional commit label,fix,10
3266763733,feat: Complete 4-phase authentication integration - Remove duplication & add production hardening,title provides conventional commit label,feat,10
3226800461,feat: Add comprehensive Docker Compose support with development and production configurations,title provides conventional commit label,feat,10
3229333583,fix: exclude documentation changes from Docker builds and fix tag generation,title provides conventional commit label,fix,10
3229732955,feat: add batch token prediction system,title provides conventional commit label,feat,10
3230351703,fix: CI/CD test failures and establish working test baseline,title provides conventional commit label,fix,10
3159415433,fix: memory leaks and server stability issues,title provides conventional commit label,fix,10
3160495699,feat: Implement GCU foundation features for Phase 4,title provides conventional commit label,feat,10
3160647911,"feat: LayerZeroSettler with latest escrow, and settlement architecture",title provides conventional commit label,feat,10
3160653118,feat: implement LayerZero v2 settlement system for trustless cross-chain attestation,title provides conventional commit label,feat,10
3160894112,feat: Add maintenance mode and cleanup CLI commands,title provides conventional commit label,feat,10
3161355858,feat: Local-first chat persistence with PGlite + Effect framework,title provides conventional commit label,feat,10
3161358535,feat: Implement enhanced user bank allocation system (Phase 4.1),title provides conventional commit label,feat,10
3163243464,fix: add offline flag support to blocks command,title provides conventional commit label,fix,10
3164258008,feat: Quick Win #5 - Documentation consolidation,title provides conventional commit label,feat,10
3164310340,feat: Quick Win #6 - Demo environment setup,title provides conventional commit label,feat,10
3274969873,fix(go): add mutex to prevent concurrent access issues in html-to-markdown,title provides conventional commit label,fix,10
3275134373,feat(tool-stubs): add auto-platform detection from URLs,title provides conventional commit label,feat,10
3275367954,feat: Enhanced Claude Code UI with Complete Transparency,title provides conventional commit label,feat,10
3275609390,fix(backend): Fix LLM blocks call tracking,title provides conventional commit label,fix,10
3276585540,feat(helm): Enhance Helm chart for ArgoCD integration and external resources,title provides conventional commit label,feat,10
3254644542,docs(gfql): Consolidate wire protocol documentation,title provides conventional commit label,docs,10
3255142482,refactor(webhooks): use REQUEST_TIME_OUT constant for outgoing webhooks,title provides conventional commit label,refactor,10
3197344409,feat: Add YAML agent configuration support,title provides conventional commit label,feat,10
3197644488,docs: add release notes for v0.0.4,title provides conventional commit label,docs,10
3166199077,feat: Phase 7.1 - Basket Asset Performance Tracking,title provides conventional commit label,feat,10
3166521009,feat: Connect chat UI to Cloudflare Workers AI integration,title provides conventional commit label,feat,10
3166710563,feat: add comprehensive hotkeys across all menu components,title provides conventional commit label,feat,10
3167450477,feat(db-structure): deprecate schema.relationships in favor of constraintsToRelationships,title provides conventional commit label,feat,10
3147421099,feat: add Claude Code SDK provider integration,title provides conventional commit label,feat,10
3147721605,feat: optional Claude co-author trailer (ADD_CLAUDE_COAUTHOR),title provides conventional commit label,feat,10
3150229181,Fix Google model restriction parameter order (follow-up to #60),title provides conventional commit label,fix,10
3207894445,fix: address code review comments from PR #886,title provides conventional commit label,fix,10
3208990831,feat: implement immutable HashSet module,title provides conventional commit label,feat,10
3209373025,feat: complete TxHashSet transactional set module implementation,title provides conventional commit label,feat,10
3209723205,"Fix: Comprehensive test cleanup and lint infrastructure (Issues #120, #154)",title provides conventional commit label,fix,10
3210688776,test: trigger CI tests on all platforms,title provides conventional commit label,test,10
3212206965,feat: add buffer pool for audio conversion,title provides conventional commit label,feat,10
3212218608,fix: migrate interface client operations from NetworkClientFactory to…,title provides conventional commit label,fix,10
3212306696,Fix: Resolve browser multiplication issue in Puppeteer MCP server,title provides conventional commit label,fix,10
3184850059,Refactor clint rules: split rules.py into individual rule files,title provides conventional commit label,refactor,10
3185859728,feat: Transaction monitoring and fraud detection system,title provides conventional commit label,feat,10
3118662815,fix: agent cross interference loop,title provides conventional commit label,fix,10
3119417980,feat: Add includeStackTrace option to reduce LLM token usage by 80-90%,title provides conventional commit label,feat,10
3119750112,fix(ai): Fix Claude Code CLI integration issues,title provides conventional commit label,fix,10
3120813048,fix: prevent 500 error when editing categories due to missing apply button,title provides conventional commit label,fix,10
3124293906,feat: Add --preplanned flag to use existing plan files,title provides conventional commit label,feat,10
3124372773,feat: Add official OpenTofu support,title provides conventional commit label,feat,10
3234660269,"Fix T-SQL parsing issues: OPENJSON, FOR JSON/XML, SET TRANSACTION, IF/ELSE, EXEC, and multiple BEGIN/END blocks",title provides conventional commit label,fix,10
3235395709,Fix file save blocking on entry refresh for improved hot reload performance,title provides conventional commit label,fix,10
3235659006,feat: implement multi-profile,title provides conventional commit label,feat,10
3235820229,feat: implement accordion UI for DDL/DML query results,title provides conventional commit label,feat,10
3237343612,Fix log file output message and remove emojis,title provides conventional commit label,fix,10
3222268735,feat(backend): Add ElevenLabs API integration,title provides conventional commit label,feat,10
3223924413,fix: correct file ownership in java-connector-base Dockerfile,title provides conventional commit label,fix,10
3224085262,feat(mobile): Add user setting for default bookmark view mode,title provides conventional commit label,feat,10
3269703997,fix: Remove all 'as any' type assertions from codebase,title provides conventional commit label,fix,10
3269741497,feat: 增加AI配置自定义请求头功能,title provides conventional commit label,feat,10
3269831635,fix: Resolve React 19 JSX component type compatibility issues,title provides conventional commit label,fix,10
3269888763,Fix DTO boolean handling for database numeric types #13419,title provides conventional commit label,fix,10
3270842985,fix: handle missing 'name' key in memory JSON import,title provides conventional commit label,fix,10
3271014961,feat: implement comprehensive species tracking system with seasonal detection,title provides conventional commit label,feat,10
2905716327,refactor(twap): implement strategy pattern for accumulator updates,title provides conventional commit label,refactor,10
2905748105,refactor(gamm): change CalcOutAmtGivenIn to take sdk.Coin instead of sdk.Coins,title provides conventional commit label,refactor,10
2909640593,feat: 添加夜间模式功能,title provides conventional commit label,feat,10
2915198291,docs: improve documentation structure with visual diagrams,title provides conventional commit label,docs,10
2915204489,docs: improve search and navigation with examples browser,title provides conventional commit label,docs,10
2915784381,refactor: migrate ArtistNationalityFilter spec from Enzyme to RTL ,title provides conventional commit label,refactor,10
2916677326,refactor(BidButton): convert class component to functional component,title provides conventional commit label,refactor,10
3240533897,feat(auto_client): add comprehensive api_key parameter support for all providers,title provides conventional commit label,feat,10
3241840766,feat: Add support for multiple tool calls in a single message,title provides conventional commit label,feat,10
3225725945,Fix Safari clipboard paste,title provides conventional commit label,fix,10
3225792521,Fix Claude Code hook setup for multi-agent development,title provides conventional commit label,fix,10
3225792685,fix(ruv-swarm-mcp): comprehensive debugging and functionality restoration,title provides conventional commit label,fix,10
3226043406,feat: lazy load CLI command actions for improved startup performance,title provides conventional commit label,feat,10
3226060777,feat: improve audio feedback warning logic and add comprehensive i18n support,title provides conventional commit label,feat,10
3226401427,Fix Discord presence module error handling (Fixes #5535),title provides conventional commit label,fix,10
3226475067,chore: release test to staging,title provides conventional commit label,chore,10
3226500911,chore: 强制合并test分支到staging - 以test为主,title provides conventional commit label,chore,10
3226627949,feat(cpu-threading): integrate CLI with threading system and unify TTS API,title provides conventional commit label,feat,10
3226645641,feat: implement service types and standardized interfaces with getServicesByType() method,title provides conventional commit label,feat,10
3267198858,Fix CI and consolidate AnyCodable implementation,title provides conventional commit label,fix,10
3267602007,"feat(gfql): Consolidated GFQL core implementation - AST nodes, Let bindings, Call operations",title provides conventional commit label,feat,10
3267605140,docs(gfql): Comprehensive GFQL documentation updates,title provides conventional commit label,docs,10
2936982220,chore: update golang to 1.24.1,title provides conventional commit label,chore,10
2970665095,build: Update PyO3 dependencies to version 0.24.1 and adjust Python binding initialization,title provides conventional commit label,build,10
2975165913,Fix broken links to notebooks,title provides conventional commit label,fix,10
2990012909,docs: update changelog with v4.0.0-alpha entries organized by version,title provides conventional commit label,docs,10
3029855439,Fix GO:0036402 proteasome-activating activity term relationships,title provides conventional commit label,fix,10
3037985682,feat: update changelog as part of `bump-versions` script,title provides conventional commit label,feat,10
3054252195,fix(client): correctly marshal `text/plain` requests,title provides conventional commit label,fix,10
3255598859,chore(ci): Make the core CICD workflows failfast (#32768),title provides conventional commit label,chore,10
3256172444,feat: Support llm-based message summarization by introducing Transformer mechanism,title provides conventional commit label,feat,10
3258270000,feat: Integrate Commander's draggable/resizable pane system and hotbar,title provides conventional commit label,feat,10
3190681974,fix: resolve MCP-Hub tool validation errors for project management functions,title provides conventional commit label,fix,10
3193198936,feat(telemetry): implement performance testing framework (Phase 8),title provides conventional commit label,feat,10
3193248030,feat: add Coder registry links to template creation and editing (cherry-pick #18680),title provides conventional commit label,feat,10
3193786351,chore(swagger): Add Swagger annotations Batch Testing Base (#32529),title provides conventional commit label,chore,10
3277239540,Fix method ambiguity for Adjoint multiplication with Symbolics.Arr (fixes #575),title provides conventional commit label,fix,10
3277329042,fix: add Windows .cmd parsing fallback for node.exe colocated environments,title provides conventional commit label,fix,10
3277570981,Fix deprecation warnings causing CI failures with --depwarn=error,title provides conventional commit label,fix,10
3277943226,fix: re-apply transient connection fix for gateway connections,title provides conventional commit label,fix,10
3070114059,chore: Upgrade GitHub Actions to ubuntu-24.04,title provides conventional commit label,chore,10
3070149818,"fix: Correct typo ""trough"" to ""through""",title provides conventional commit label,fix,10
3070160046,chore: upgrade color-related dependencies,title provides conventional commit label,chore,10
3079303421,feat: implement Query Node with RAG functionality and Vector Store integration,title provides conventional commit label,feat,10
3170104958,fix: Fix INSERT INTO column list parsing and add comprehensive tests,title provides conventional commit label,fix,10
3172647828,Fix serialization edge case in Prefect blocks,title provides conventional commit label,fix,10
3172785852,feat: Implement Overlord Phase 1 - Claude Code sync service foundation,title provides conventional commit label,feat,10
3152317896,feat: initial CLI setup,title provides conventional commit label,feat,10
3154096278,feat: Basic Psionic package setup with hello world,title provides conventional commit label,feat,10
3154339119,Fix source path in snapshots for non-child workspaces,title provides conventional commit label,fix,10
3154699305,feat(stripe): Add Full Tier Support for Stripe Prices,title provides conventional commit label,feat,10
3155322770,refactor: generalize Semihosting interface,title provides conventional commit label,refactor,10
3156775134,test: Improve test coverage to reach 50%,title provides conventional commit label,test,10
3158776739,feat: Implement exponential backoff retry mechanism for transient failures,title provides conventional commit label,feat,10
3158802702,feat: Implement configurable retry policies,title provides conventional commit label,feat,10
3159212731,fix(storybook): update Vercel build command to use monorepo structure,title provides conventional commit label,fix,10
3206405036,Fix TypeError when opts is undefined in main.ts,title provides conventional commit label,fix,10
3206510254,feat: implement immutable HashMap module,title provides conventional commit label,feat,10
3206889625,feat: implement audio capture and export in audiocore,title provides conventional commit label,feat,10
3206950313,feat: add enhanced audio capture and export functionality to audiocore,title provides conventional commit label,feat,10
3207221136,fix: prevent RangeError in GitIgnoreParser for root paths,title provides conventional commit label,fix,10
3128824166,docs: Add v0.0.3 release notes,title provides conventional commit label,docs,10
3131363751,feat: configurable Docker Compose host ports via environment variables,title provides conventional commit label,feat,10
3186370783,"Implement ""last client wins"" terminal width behavior","The PR introduces a new feature that changes the terminal width behavior to 'last client wins', removes the manual width selector, and adds automatic resizing triggers. These changes add new functionality and improve user experience, fitting the 'feat' category.",feat,9
3127930821,feature: Add 'wv catalog' CLI commands for static catalog management,"The PR introduces new CLI commands for managing static catalog metadata, which is a new feature addition to the project.",feat,10
3128534413,Implement Salsa-based incremental compilation,"The PR introduces a new feature by implementing Salsa-based incremental compilation infrastructure, enabling IDE-friendly incremental updates and laying the foundation for further compiler improvements.",feat,9
3128559622,Implement comprehensive semantic analysis with modular architecture,"The PR introduces a new feature: comprehensive semantic analysis with modular architecture, new crates, and semantic validation capabilities, which is a clear addition of functionality rather than a fix or refactor.",feat,10
3128646283,Redesign Python SDK to use native library with CLI fallback,"The PR introduces a new feature by redesigning the Python SDK to use a native library with a CLI fallback, adding new functionality and improving the developer experience without fixing a bug or just refactoring existing code.",feat,9
3128713996,Add Python wheel distribution infrastructure (Phase 2 of #987),"The PR introduces a new feature: automated building and publishing of Python wheel distributions with bundled native libraries, which is a new functionality for the project.",feat,9
3132009446,Investigation: Windows Layered Filesystem for Compiler Hosting,"The PR primarily adds a new investigation document and detailed documentation about Windows layered filesystem solutions without changing code functionality, indicating documentation-only changes.",docs,9
3132093324,Consolidate MoE quantization parameters into FusedMoeQuantConfig,"The PR primarily restructures the code by consolidating multiple boolean parameters into a single configuration object, improving maintainability, type safety, and developer experience without adding new features or fixing bugs. This is a classic example of a refactor.",refactor,9
3132378621,"Comprehensive maze generator enhancements: web interface, test suite, and improved triangular mazes","The PR introduces multiple new features including an interactive web interface for maze generation, a comprehensive test suite, and enhancements to the triangular maze implementation. These are all new functionalities and improvements, fitting the 'feat' category.",feat,10
3132410695,Add comprehensive test suite for maze generator,"The PR adds a comprehensive test suite for the maze generator, including multiple tests and a test framework, which is clearly an addition of tests to ensure code quality and regression detection.",test,10
3153985254,Add Python 3.13 to CI and metadata,"The changes update the CI configuration to include a new Python version and modify metadata in the project configuration file, which are related to build and integration processes rather than code features or fixes.",ci,9
3154517662,Add lifetime to Selector in redaction iterator,"The title indicates the addition of a lifetime parameter to a Selector in the redaction iterator, which is a new feature or enhancement to the code functionality rather than a fix or other type of change.",feat,8
3154662508,Add comprehensive API v1 with OAuth and API key authentication,"The PR introduces a comprehensive new API version with multiple new features including OAuth and API key authentication, new endpoints, rate limiting, and developer tools. This clearly adds new functionality rather than fixing bugs or making other changes.",feat,10
3154734636,Draft: [Feat] AG-UI,"The title includes '[Feat]' indicating the addition of a new feature, and the body does not contradict this by describing fixes or other types of changes.",feat,9
3154770102,Epic 1.5: Implement Suffix-Preserving Branch Name Truncation for Enhanced Developer UX,"The PR introduces a new feature that improves the user experience by implementing suffix-preserving branch name truncation, which is a new functionality enhancing developer productivity and workflow efficiency.",feat,10
3158615630,Add MCP Middleware,"The PR introduces a new middleware system for MCP servers, adding new features and capabilities such as request/response control, integration points, and proxy server enhancements. This clearly represents a new feature addition rather than a fix, refactor, or other change type.",feat,10
3158818689,Implement hash_to_curve for secp256k1,"The PR introduces a new feature: the hash-to-curve functionality for secp256k1, including new modules, trait methods, and public APIs, along with comprehensive tests. This is clearly an addition of new functionality rather than a fix, refactor, or other change type.",feat,9
3206405282,Add comprehensive live demo with GitHub Pages deployment,"The PR introduces a new interactive demo site with multiple features and automated deployment, which is a new feature addition to the project.",feat,10
3206405566,Implement comprehensive CI/CD pipeline with GitHub Actions,"The PR introduces a comprehensive CI/CD pipeline with GitHub Actions, adding new automated testing, quality assurance, and deployment features. This is a clear addition of new functionality to the project, fitting the 'feat' category.",feat,10
3246897503,Bump version to v0.75.0 from rc1,"The PR updates version tags from a release candidate to an official release, which is a routine version bump and does not add new features or fix bugs. It is a maintenance task related to the build and deployment process, so it fits best under 'build'.",build,9
3246680171,Add CLAUDE.md for development guidelines,"The commit adds a new documentation file with development guidelines, which is purely informational and does not change code behavior.",docs,9
3246681942,Update Python version to 3.12 and uv lockfile,"The commit updates the Python version and modifies dependency management files, which affects the build environment and dependencies rather than adding features or fixing bugs.",build,9
3246684833,Add `move_nancorrmatrix` and `move_nancovmatrix` functions,"The commit introduces new functions for computing rolling correlation and covariance matrices, which are new features added to the codebase. It also includes related tests and integration, indicating a feature addition rather than a fix or other change type.",feat,9
3246764807,Add exponential moving matrix functions,"The PR introduces new functions and a new decorator, which are new features added to the codebase. It also adds tests, but the primary change is the addition of new functionality.",feat,9
3246796582,Avoid special-casing diagonals in matrix calcs,"The change fixes the incorrect handling of diagonal elements in correlation matrix calculations, correcting the output to NaN when variance is zero, which is a bug fix. The tests were also updated to reflect this corrected behavior.",fix,9
3263934382,Implement Two-way Claude Code Session Sync between Desktop and Mobile Apps,"The PR introduces a comprehensive new feature enabling two-way synchronization of Claude Code sessions between desktop and mobile apps, including real-time updates, session management, and backend integration. This clearly fits the 'feat' category as it adds new functionality.",feat,10
3142181649,Replace CLI subprocess approach with Claude Code SDK,"The PR introduces a new SDK integration replacing a subprocess approach, which adds new functionality and improves performance without breaking existing interfaces. It is both a new feature and a performance improvement.",feat,9
3145238894,Implement bottom-to-top message flow with auto-scroll,"The PR introduces a new feature that changes the message flow to bottom-to-top with auto-scroll functionality, enhancing the chat experience. This is clearly a feature addition rather than a fix, refactor, or other type of change.",feat,10
3145249026,Implement bottom-to-top message flow layout,"The PR introduces a new feature that changes the message flow layout to a bottom-to-top style, enhancing the chat experience without fixing a bug or making other types of changes.",feat,10
3146518192,Add Python 3.14 and Windows ARM64 support to CI,"The changes add new features to the CI configuration by including Python 3.14 and Windows ARM64 support, which extends testing capabilities and platform coverage.",ci,9
